index,flow
0,4494.657635
1,8119.079936
2,4519.079936
3,5967.336394
4,8094.657635
5,14006.37101
6,10022.3196
7,14030.5609
8,18006.37101
9,5199.999995
10,18030.5609
11,8798.267714
12,15780.78205
13,5991.758696
14,8806.498667
15,12492.92535
16,12101.52911
17,15794.01059
18,12525.57861
19,12040.91826
20,6882.664907
21,8388.71306
22,15796.74099
23,6836.70597
24,21744.07607
25,21814.07608
26,17726.62503
27,23125.79728
28,11047.09388
29,8099.999995
30,5299.999995
31,17604.22353
32,8365.285652
33,9776.119529
34,9973.707406
35,8404.934622
36,12287.60526
37,12378.64203
38,11121.35796
39,9814.069059
40,9036.334131
41,8400.436827
42,23192.28335
43,9079.820313
44,19083.28976
45,18409.93502
46,8406.714402
47,11073.00932
48,11695.00291
49,15278.32522
50,8099.999995
51,11683.83828
52,9953.021431
53,15854.62144
54,15333.40664
55,18976.7961
56,19116.72427
57,9941.856797
58,8688.367039
59,18992.48837
60,8710.636919
61,6302.022869
62,6999.999995
63,6239.985013
64,8619.539695
65,10309.4108
66,18386.47276
67,6999.999995
68,8607.387927
69,9661.824228
70,8394.900175
71,9626.210197
72,7902.983922
73,11112.39473
74,10259.52471
75,7861.833239
